GeneID,BES1_ChIP_chip,BES1_ChIP_seq,BZR1_ChIP_chip,BZR1_ChIP_seq,n_hit
AT1G01260,TRUE,TRUE,TRUE,TRUE,4
AT1G01310,TRUE,FALSE,TRUE,TRUE,3
AT1G01420,TRUE,FALSE,TRUE,FALSE,2
AT1G01470,TRUE,FALSE,TRUE,TRUE,3
AT1G01480,TRUE,FALSE,TRUE,TRUE,3
AT1G01520,TRUE,FALSE,TRUE,FALSE,2
AT1G01540,TRUE,TRUE,TRUE,TRUE,4
AT1G01570,TRUE,TRUE,TRUE,TRUE,4
AT1G01580,TRUE,TRUE,TRUE,TRUE,4
AT1G01650,TRUE,TRUE,TRUE,TRUE,4
AT1G01720,TRUE,FALSE,TRUE,FALSE,2
AT1G01900,TRUE,FALSE,TRUE,FALSE,2
AT1G01910,TRUE,FALSE,TRUE,FALSE,2
AT1G02065,TRUE,TRUE,TRUE,TRUE,4
AT1G02350,TRUE,TRUE,TRUE,TRUE,4
AT1G02400,TRUE,TRUE,TRUE,TRUE,4
AT1G02640,TRUE,FALSE,TRUE,FALSE,2
AT1G02670,TRUE,FALSE,TRUE,TRUE,3
AT1G03030,TRUE,FALSE,FALSE,TRUE,2
AT1G03060,TRUE,FALSE,TRUE,TRUE,3
AT1G03600,TRUE,TRUE,TRUE,TRUE,4
AT1G03610,TRUE,TRUE,TRUE,TRUE,4
AT1G03800,TRUE,TRUE,TRUE,TRUE,4
AT1G04530,TRUE,TRUE,TRUE,TRUE,4
AT1G04540,TRUE,FALSE,TRUE,TRUE,3
AT1G05410,TRUE,FALSE,TRUE,TRUE,3
AT1G05530,TRUE,FALSE,FALSE,TRUE,2
AT1G05700,TRUE,TRUE,TRUE,TRUE,4
AT1G05710,TRUE,TRUE,TRUE,TRUE,4
AT1G06640,TRUE,FALSE,TRUE,FALSE,2
AT1G06645,TRUE,FALSE,TRUE,FALSE,2
AT1G06923,TRUE,FALSE,TRUE,TRUE,3
AT1G07040,TRUE,FALSE,TRUE,FALSE,2
AT1G07050,TRUE,FALSE,TRUE,FALSE,2
AT1G07090,TRUE,TRUE,TRUE,TRUE,4
AT1G07240,TRUE,FALSE,TRUE,FALSE,2
AT1G07280,TRUE,FALSE,TRUE,TRUE,3
AT1G07430,TRUE,FALSE,TRUE,FALSE,2
AT1G07720,TRUE,FALSE,TRUE,FALSE,2
AT1G07890,TRUE,FALSE,TRUE,FALSE,2
AT1G08920,TRUE,FALSE,TRUE,FALSE,2
AT1G09250,TRUE,TRUE,TRUE,TRUE,4
AT1G09260,TRUE,TRUE,TRUE,TRUE,4
AT1G09350,TRUE,FALSE,TRUE,TRUE,3
AT1G09390,TRUE,FALSE,TRUE,TRUE,3
AT1G10270,TRUE,FALSE,TRUE,FALSE,2
AT1G10460,TRUE,TRUE,TRUE,TRUE,4
AT1G10760,TRUE,FALSE,FALSE,TRUE,2
AT1G10910,TRUE,FALSE,TRUE,FALSE,2
AT1G12244,TRUE,FALSE,TRUE,FALSE,2
AT1G12250,TRUE,FALSE,TRUE,FALSE,2
AT1G12420,TRUE,TRUE,TRUE,TRUE,4
AT1G12430,TRUE,FALSE,TRUE,FALSE,2
AT1G12840,TRUE,FALSE,FALSE,TRUE,2
AT1G12935,TRUE,FALSE,TRUE,FALSE,2
AT1G13250,TRUE,TRUE,TRUE,TRUE,4
AT1G13560,TRUE,FALSE,TRUE,FALSE,2
AT1G13950,TRUE,TRUE,TRUE,TRUE,4
AT1G14685,TRUE,FALSE,TRUE,FALSE,2
AT1G14880,TRUE,FALSE,TRUE,FALSE,2
AT1G14920,TRUE,TRUE,TRUE,TRUE,4
AT1G15130,TRUE,FALSE,TRUE,FALSE,2
AT1G15220,TRUE,FALSE,TRUE,FALSE,2
AT1G15250,TRUE,FALSE,TRUE,FALSE,2
AT1G15260,TRUE,FALSE,TRUE,FALSE,2
AT1G15670,TRUE,TRUE,TRUE,FALSE,3
AT1G15720,TRUE,FALSE,TRUE,FALSE,2
AT1G15750,TRUE,TRUE,TRUE,TRUE,4
AT1G15800,TRUE,FALSE,TRUE,FALSE,2
AT1G15810,TRUE,FALSE,TRUE,FALSE,2
AT1G16090,TRUE,FALSE,TRUE,FALSE,2
AT1G16130,TRUE,FALSE,TRUE,FALSE,2
AT1G16520,TRUE,FALSE,TRUE,TRUE,3
AT1G16760,TRUE,FALSE,FALSE,TRUE,2
AT1G16850,TRUE,FALSE,FALSE,TRUE,2
AT1G17380,TRUE,FALSE,TRUE,FALSE,2
AT1G17990,TRUE,FALSE,TRUE,FALSE,2
AT1G18080,TRUE,FALSE,FALSE,TRUE,2
AT1G18570,TRUE,FALSE,TRUE,TRUE,3
AT1G18670,TRUE,TRUE,FALSE,FALSE,2
AT1G19110,TRUE,FALSE,FALSE,TRUE,2
AT1G19180,TRUE,TRUE,TRUE,TRUE,4
AT1G19310,TRUE,TRUE,TRUE,TRUE,4
AT1G19350,TRUE,TRUE,TRUE,FALSE,3
AT1G19460,TRUE,TRUE,TRUE,TRUE,4
AT1G19770,TRUE,FALSE,TRUE,FALSE,2
AT1G19835,TRUE,TRUE,TRUE,TRUE,4
AT1G19850,TRUE,TRUE,FALSE,FALSE,2
AT1G19870,TRUE,TRUE,TRUE,TRUE,4
AT1G20010,TRUE,TRUE,TRUE,FALSE,3
