gene,phase
AT2G23320,Enriched_G2M
AT4G17340,Enriched_G2M
AT5G27420,Enriched_G2M
AT5G54290,Enriched_G2M
AT5G08240,Enriched_G2M
AT5G06980,Enriched_G2M
AT5G03230,Enriched_G2M
AT5G01700,Enriched_G2M
AT3G52400,Enriched_G2M
AT3G49780,Enriched_G2M
AT4G36150,Enriched_G2M
AT4G28703,Enriched_G2M
AT4G28290,Enriched_G2M
AT4G03010,Enriched_G2M
AT1G51680,Enriched_G2M
AT3G18560,Enriched_G2M
AT3G26920,Enriched_G2M
AT2G38640,Enriched_G2M
AT3G02830,Enriched_G2M
AT3G09910,Enriched_G2M
AT3G05430,Enriched_G2M
AT1G19020,Enriched_G2M
AT1G06840,Enriched_G2M
AT1G07500,Enriched_G2M
AT1G07870,Enriched_G2M
AT1G59590,Enriched_G2M
AT1G21000,Enriched_G2M
AT2G17220,Enriched_G2M
AT2G36050,Enriched_G2M
AT2G42760,Enriched_G2M
AT1G03470,Enriched_G2M
AT1G77060,Enriched_G2M
AT1G30860,Enriched_G2M
AT2G20110,Enriched_G2M
AT2G32150,Enriched_G2M
AT2G29650,Enriched_G2M
AT2G46830,Enriched_G2M
AT2G44130,Enriched_G2M
AT2G26330,Enriched_G2M
AT1G67810,Enriched_G2M
AT5G61600,Enriched_G2M
AT5G56780,Enriched_G2M
AT5G17300,Enriched_G2M
AT4G38225,Enriched_G2M
AT1G60610,Enriched_G2M
AT2G38400,Enriched_G2M
AT5G19490,Enriched_G2M
AT5G65580,Enriched_G2M
AT5G64100,Enriched_G2M
AT5G54300,Enriched_G2M
AT5G37260,Enriched_G2M
AT5G05180,Enriched_G2M
AT5G02540,Enriched_G2M
AT3G57540,Enriched_G2M
AT3G55580,Enriched_G2M
AT3G51910,Enriched_G2M
AT4G39590,Enriched_G2M
AT3G13100,Enriched_G2M
AT3G27730,Enriched_G2M
AT3G07940,Enriched_G2M
AT1G53560,Enriched_G2M
AT1G33860,Enriched_G2M
AT1G75750,Enriched_G2M
AT1G27290,Enriched_G2M
AT2G16720,Enriched_G2M
AT2G27830,Enriched_G2M
AT3G43160,Enriched_G2M
AT1G35340,Enriched_G2M
AT2G23340,Enriched_G2M
AT1G08410,Enriched_G2M
AT5G08360,Enriched_G2M
AT5G66800,Enriched_G2M
AT5G51080,Enriched_G2M
AT5G47240,Enriched_G2M
AT5G18140,Enriched_G2M
AT5G06280,Enriched_G2M
AT5G04720,Enriched_G2M
AT5G01075,Enriched_G2M
AT3G62000,Enriched_G2M
AT3G59940,Enriched_G2M
AT3G54500,Enriched_G2M
AT3G48900,Enriched_G2M
AT4G31450,Enriched_G2M
AT4G18490,Enriched_G2M
AT4G13030,Enriched_G2M
AT4G11330,Enriched_G2M
AT4G01070,Enriched_G2M
AT3G12320,Enriched_G2M
AT3G24070,Enriched_G2M
AT3G20620,Enriched_G2M
AT3G19470,Enriched_G2M
AT3G04350,Enriched_G2M
AT3G07350,Enriched_G2M
AT1G02490,Enriched_G2M
AT1G17480,Enriched_G2M
AT1G19980,Enriched_G2M
AT1G71720,Enriched_G2M
AT1G31350,Enriched_G2M
AT2G03730,Enriched_G2M
AT1G70290,Enriched_G2M
AT1G12070,Enriched_G2M
